,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
58,"('array-8838909ee9756e34565341881e2e6f0c', 120)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5046387
59,"('array-8838909ee9756e34565341881e2e6f0c', 120)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.505422
60,"('_map_read_frame-c50155175b03e4c1ec9664317841e345', 120, 0, 0, 0)",,,map_read_frame,_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.506169
61,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 121, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.506914
62,"('chunk_max-f51ddbdd2414581636b6798cd76ef954', 120, 0, 0, 0)",,,chunk_max,chunk_max-f51ddbdd2414581636b6798cd76ef954,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.507664
63,"('chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333', 60, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-80f8e741f300d2a084fb2c4c7220e333,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.508456
64,"('chunk_max-partial-8c47771865924cf589c1b50dcf089083', 30, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-8c47771865924cf589c1b50dcf089083,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.509179
65,"('chunk_max-partial-1910eb1fea4393b8b46bad62e1bd1e92', 15, 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-1910eb1fea4393b8b46bad62e1bd1e92,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.509943
66,"('chunk_min-5a09aab47a69898004101a2c5b6e1b96', 120, 0, 0, 0)",,,chunk_min,chunk_min-5a09aab47a69898004101a2c5b6e1b96,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5106988
67,"('chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc', 60, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-2acf6532b07f4fbe3e253eefeb7a5ebc,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.511459
68,"('chunk_min-partial-8dd005561753a0069a30a564b3da22ea', 30, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-8dd005561753a0069a30a564b3da22ea,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5121913
69,"('chunk_min-partial-70478972c24ad36db8a8ba4b71d9b19e', 15, 0, 0, 0)",,,chunk_min-partial,chunk_min-partial-70478972c24ad36db8a8ba4b71d9b19e,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5129485
70,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 119, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5137165
71,"('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 119, 0, 0, 0)",,,block-info,block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5145135
72,"('array-8838909ee9756e34565341881e2e6f0c', 119)",,,array,array-8838909ee9756e34565341881e2e6f0c,released,waiting,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5152323
73,"('array-8838909ee9756e34565341881e2e6f0c', 119)",,,array,array-8838909ee9756e34565341881e2e6f0c,waiting,processing,update-graph-1713455680.1067564,tcp://10.201.0.220:8786,,,,,1713455681.5159926
